정책ID,정책서비스ID,서비스명,태그-신청절차,태그-지원유형,태그-지역(시도),태그-지역(시군구),태그-기업규모,태그-업종(대분류),태그-업력(시작),태그-업력(종료)
10764,480000000574,축산물 직거래 활성화 지원,오프라인,정보제공,전라남도,목포시,중소기업/소상공인,"농업, 임업 및 어업/제조업/도매 및 소매업",0.0,0.0
10765,495000000218,FTA 피해 보전 직불금 지원,오프라인,"현금,현물",전라남도,무안군,무관,"농업, 임업 및 어업/도매 및 소매업",0.0,0.0
10766,495000000278,농촌 자원 복합산업화지원,오프라인,"현금,현물",전라남도,무안군,중소기업/소상공인,"농업, 임업 및 어업/제조업/도매 및 소매업/전문, 과학 및 기술 서비스업/예술, 스포츠 및 여가관련 서비스업",0.0,0.0
10767,495000000280,농촌공동체 회사 우수사업 지원(농촌자원복합산업화지원),오프라인,"현금,현물",전라남도,무안군,중소기업/소상공인,"농업, 임업 및 어업",0.0,0.0
10768,483000000394,산림작물 생산 기반 조성 지원,오프라인,"현금,현물",전라남도,나주시,중소기업/소상공인,"농업, 임업 및 어업/광업/제조업/전기, 가스, 증기 및 공기 조절 공급업/도매 및 소매업/전문, 과학 및 기술 서비스업/사업시설 관리, 사업 지원 및 임대 서비스업/교육 서비스업",0.0,0.0
10769,485000000237,가축분뇨처리지원,오프라인,"현금,현물",전라남도,담양군,중소기업/소상공인,"농업, 임업 및 어업/전기, 가스, 증기 및 공기 조절 공급업/수도, 하수 및 폐기물 처리, 원료 재생업/전문, 과학 및 기술 서비스업",0.0,0.0
10770,483000000506,축사시설 현대화 지원,오프라인,"현금,현물",전라남도,나주시,무관,"농업, 임업 및 어업",0.0,0.0
10771,485000000435,풍수해 보험료 지원,오프라인,"현금,현물",전라남도,담양군,무관,"농업, 임업 및 어업",0.0,0.0
10772,495000000219,GAP 인증농가 안전성 검사비 지원,오프라인,"현금,현물",전라남도,무안군,무관,"농업, 임업 및 어업",0.0,0.0
10773,495000000403,지역산업 맞춤형 일자리 창출 지원,복합,정보제공,전라남도,무안군,무관,"사업시설 관리, 사업 지원 및 임대 서비스업/공공 행정, 국방 및 사회보장 행정",0.0,0.0
10774,483000000514,친환경퇴비생산시설 현대화 지원,오프라인,"현금,현물",전라남도,나주시,무관,"농업, 임업 및 어업/운수 및 창고업/공공 행정, 국방 및 사회보장 행정",0.0,0.0
10775,480000000454,사회적기업 일자리 창출 지원,온라인,"현금,현물",전라남도,목포시,중소기업/소상공인,무관,0.0,0.0
10776,495000000304,사회적기업 일자리 창출 지원,온라인,"현금,현물",전라남도,무안군,중소기업/소상공인,무관,0.0,0.0
10777,495000000305,산림경영계획 작성 지원,오프라인,"현금,현물",전라남도,무안군,중소기업/소상공인,"농업, 임업 및 어업/광업/제조업",0.0,0.0
10779,495000000406,천일염 포장재 지원,오프라인,"현금,현물",전라남도,무안군,무관,"농업, 임업 및 어업",0.0,0.0
