기업체명,업력(월),기업규모,업종(대분류),지역(광역시도),지역(시군구)
동일건설주식회사,235,판단불가,건설업,경기도,용인시
(주)무한,282,중소기업,제조업,충청남도,천안시
(주)옥서스,275,중소기업,제조업,경기도,가평군
(주)공신앤에치,159,중소기업,금융 및 보험업,서울특별시,영등포구
태산종합건설(주),251,중소기업,건설업,부산광역시,동구
(주)KJ컴텍,423,중소기업,제조업,경기도,부천시
주식회사석은,299,중소기업,부동산업,부산광역시,연제구
(주)명성학원,251,판단불가,교육 서비스업,서울특별시,은평구
신화산업주식회사,304,판단불가,제조업,경기도,화성군
주식회사 아싸,121,중소기업,제조업,서울특별시,구로구
(주)깊은생각,207,소기업,교육 서비스업,서울특별시,강남구
(주)디자인윌,275,중소기업,"전문, 과학 및 기술 서비스업",서울특별시,중구
(주)이메이션코리아,측정제한,중소기업,도매 및 소매업,서울특별시,마포구
샤크존건설,315,중소기업,부동산업,경기도,안양시
주식회사 선영,475,중소기업,"예술, 스포츠 및 여가관련 서비스업",대구광역시,수성구
경현솔라텍(주),179,중소기업,"전기, 가스, 증기 및 공기 조절 공급업",경상북도,봉화군
일성이엔지주식회사,378,판단불가,제조업,경기도,용인시
(주)골든썬,107,소상공인,제조업,전라남도,장성군
(주)아주의대벤처메딕스,255,중소기업,제조업,서울특별시,서초구
브리티시에듀케이션주식회사,338,중소기업,부동산업,서울특별시,서초구
판단불가,판단불가,판단불가,판단불가,판단불가,판단불가
(주)에프앤씨,144,중소기업,부동산업,대구광역시,서구
유엠코리아(주),273,판단불가,제조업,충청남도,천안시
삼부개발주식회사,569,중소기업,도매 및 소매업,서울특별시,성동구
(주)솔보텍,203,중소기업,정보통신업,서울특별시,서초구
(주)경부공영,334,중기업,광업,경상남도,김해시
(주)나스텍엔지니어링,232,중소기업,"전문, 과학 및 기술 서비스업",경기도,안양시
(주)메드빌,275,중소기업,"전문, 과학 및 기술 서비스업",서울특별시,금천구
주식회사 덕유개발,128,판단불가,부동산업,경기도,용인시
미래건설주식회사,226,중소기업,건설업,경상남도,창원시
한국한와흥업주식회사,324,중소기업,도매 및 소매업,서울특별시,강남구
주식회사 삼일파이낸스,307,중소기업,금융 및 보험업,서울특별시,서초구
아산도시개발(주),173,중소기업,부동산업,충청남도,아산시
유승건설(주),334,중소기업,건설업,경상남도,함양군
물레방적(주),301,판단불가,제조업,광주광역시,광산구
주식회사 파로마TDS(구:주식회사 파로마가구),331,중소기업,제조업,인천광역시,남동구
(재)목암생명공학연구소,450,기타,"전문, 과학 및 기술 서비스업",경기도,용인시
(주)태영이엠씨,471,중기업,제조업,강원도,평창군
